model_name,under_to_over_cost_ratio,decision_quantile,forecast_source,shortage_units,inventory_holding_units,safety_stock_units,fill_rate_proxy,weighted_total_cost_proxy,claim_boundary,population
EXTRA_TREES,3:1,0.75,point_forecast,45291.588245555555,71176.16009958337,0.0,0.951291786856325,207050.92483625002,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES,5:1,0.8333333333333334,point_forecast,45291.588245555555,71176.16009958337,0.0,0.951291786856325,297634.10132736113,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_DAMPED_TREND,1:1,0.5,point_forecast,52488.46397822649,74687.9602114083,0.0,0.9435520062318317,127176.4241896348,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_DAMPED_TREND,2:1,0.6666666666666666,point_forecast,52488.46397822649,74687.9602114083,0.0,0.9435520062318317,179664.88816786127,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_DAMPED_TREND,3:1,0.75,point_forecast,52488.46397822649,74687.9602114083,0.0,0.9435520062318317,232153.35214608777,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_DAMPED_TREND,5:1,0.8333333333333334,point_forecast,52488.46397822649,74687.9602114083,0.0,0.9435520062318317,337130.28010254074,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_RESPONSIVE,1:1,0.5,point_forecast,46532.302962500005,71595.85266666659,0.0,0.9499574773471116,118128.15562916659,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_RESPONSIVE,2:1,0.6666666666666666,point_forecast,46532.302962500005,71595.85266666659,0.0,0.9499574773471116,164660.4585916666,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_RESPONSIVE,3:1,0.75,point_forecast,46532.302962500005,71595.85266666659,0.0,0.9499574773471116,211192.7615541666,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES_RESPONSIVE,5:1,0.8333333333333334,point_forecast,46532.302962500005,71595.85266666659,0.0,0.9499574773471116,304257.3674791666,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
LIGHTGBM,1:1,0.5,point_forecast,57602.62843090262,70377.04083645178,0.0,0.9380520486930894,127979.6692673544,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
LIGHTGBM,2:1,0.6666666666666666,point_forecast,57602.62843090262,70377.04083645178,0.0,0.9380520486930894,185582.29769825703,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
LIGHTGBM,3:1,0.75,point_forecast,57602.62843090262,70377.04083645178,0.0,0.9380520486930894,243184.92612915966,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
LIGHTGBM,5:1,0.8333333333333334,point_forecast,57602.62843090262,70377.04083645178,0.0,0.9380520486930894,358390.18299096485,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
MOVING_AVERAGE_3,1:1,0.5,point_forecast,41094.733714841335,115334.4127698842,0.0,0.9558052361066962,156429.14648472553,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
MOVING_AVERAGE_3,2:1,0.6666666666666666,point_forecast,41094.733714841335,115334.4127698842,0.0,0.9558052361066962,197523.8801995669,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
MOVING_AVERAGE_3,3:1,0.75,point_forecast,41094.733714841335,115334.4127698842,0.0,0.9558052361066962,238618.6139144082,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
MOVING_AVERAGE_3,5:1,0.8333333333333334,point_forecast,41094.733714841335,115334.4127698842,0.0,0.9558052361066962,320808.08134409087,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
SEASONAL_NAIVE,1:1,0.5,point_forecast,48760.062000000005,104926.10999999999,0.0,0.9475616646535272,153686.172,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
SEASONAL_NAIVE,2:1,0.6666666666666666,point_forecast,48760.062000000005,104926.10999999999,0.0,0.9475616646535272,202446.234,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
SEASONAL_NAIVE,3:1,0.75,point_forecast,48760.062000000005,104926.10999999999,0.0,0.9475616646535272,251206.296,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
SEASONAL_NAIVE,5:1,0.8333333333333334,point_forecast,48760.062000000005,104926.10999999999,0.0,0.9475616646535272,348726.42000000004,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CONV1D_ATTENTION_GLOBAL,1:1,0.5,p50,24706.5322265625,13747.887588500977,0.0,0.8939740508039941,38454.41981506348,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CONV1D_ATTENTION_GLOBAL,2:1,0.6666666666666666,p67,11485.167343139648,32198.545623779297,31672.022918701172,0.9507123962980871,55168.880310058594,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CONV1D_ATTENTION_GLOBAL,3:1,0.75,p75,7517.575729370117,46636.2088470459,50077.277755737305,0.9677389730355445,69188.93603515625,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CONV1D_ATTENTION_GLOBAL,5:1,0.8333333333333334,p83,5236.082366943359,62402.462173461914,68125.02444458008,0.9775298047523329,88582.87400817871,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CROSTON_SBA,1:1,0.5,point_forecast,38806.72491596267,11348.184846858388,0.0,0.8334642919026644,50154.90976282106,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CROSTON_SBA,2:1,0.6666666666666666,point_forecast,38806.72491596267,11348.184846858388,0.0,0.8334642919026644,88961.63467878374,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CROSTON_SBA,3:1,0.75,point_forecast,38806.72491596267,11348.184846858388,0.0,0.8334642919026644,127768.35959474642,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
CROSTON_SBA,5:1,0.8333333333333334,point_forecast,38806.72491596267,11348.184846858388,0.0,0.8334642919026644,205381.80942667174,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
ETS_A_N_A,1:1,0.5,point_forecast,22462.164702506685,20276.728976836144,0.0,0.9036055603189483,42738.89367934283,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
ETS_A_N_A,2:1,0.6666666666666666,point_forecast,22462.164702506685,20276.728976836144,0.0,0.9036055603189483,65201.058381849514,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
ETS_A_N_A,3:1,0.75,point_forecast,22462.164702506685,20276.728976836144,0.0,0.9036055603189483,87663.2230843562,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
ETS_A_N_A,5:1,0.8333333333333334,point_forecast,22462.164702506685,20276.728976836144,0.0,0.9036055603189483,132587.55248936955,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES,1:1,0.5,point_forecast,15696.604833194444,13809.48589666666,0.0,0.9326393761318198,29506.090729861106,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES,2:1,0.6666666666666666,point_forecast,15696.604833194444,13809.48589666666,0.0,0.9326393761318198,45202.695563055546,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES,3:1,0.75,point_forecast,15696.604833194444,13809.48589666666,0.0,0.9326393761318198,60899.300396249986,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES,5:1,0.8333333333333334,point_forecast,15696.604833194444,13809.48589666666,0.0,0.9326393761318198,92292.51006263889,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_DAMPED_TREND,1:1,0.5,point_forecast,17985.248372030495,18490.023546066852,0.0,0.9228178600634624,36475.27191809735,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_DAMPED_TREND,2:1,0.6666666666666666,point_forecast,17985.248372030495,18490.023546066852,0.0,0.9228178600634624,54460.52029012784,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_DAMPED_TREND,3:1,0.75,point_forecast,17985.248372030495,18490.023546066852,0.0,0.9228178600634624,72445.76866215834,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_DAMPED_TREND,5:1,0.8333333333333334,point_forecast,17985.248372030495,18490.023546066852,0.0,0.9228178600634624,108416.26540621933,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_RESPONSIVE,1:1,0.5,point_forecast,17033.64849166667,13086.503816666656,0.0,0.9269015687568631,30120.152308333327,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_RESPONSIVE,2:1,0.6666666666666666,point_forecast,17033.64849166667,13086.503816666656,0.0,0.9269015687568631,47153.8008,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_RESPONSIVE,3:1,0.75,point_forecast,17033.64849166667,13086.503816666656,0.0,0.9269015687568631,64187.44929166667,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
EXTRA_TREES_RESPONSIVE,5:1,0.8333333333333334,point_forecast,17033.64849166667,13086.503816666656,0.0,0.9269015687568631,98254.74627500001,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
LIGHTGBM,1:1,0.5,point_forecast,17899.538465175723,13139.375004666137,0.0,0.9231856767256499,31038.91346984186,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
LIGHTGBM,2:1,0.6666666666666666,point_forecast,17899.538465175723,13139.375004666137,0.0,0.9231856767256499,48938.45193501758,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
LIGHTGBM,3:1,0.75,point_forecast,17899.538465175723,13139.375004666137,0.0,0.9231856767256499,66837.99040019332,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
LIGHTGBM,5:1,0.8333333333333334,point_forecast,17899.538465175723,13139.375004666137,0.0,0.9231856767256499,102637.06733054476,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
MOVING_AVERAGE_3,1:1,0.5,point_forecast,18995.318557322455,31921.99022975269,0.0,0.9184832311067578,50917.30878707515,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
MOVING_AVERAGE_3,2:1,0.6666666666666666,point_forecast,18995.318557322455,31921.99022975269,0.0,0.9184832311067578,69912.6273443976,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
MOVING_AVERAGE_3,3:1,0.75,point_forecast,18995.318557322455,31921.99022975269,0.0,0.9184832311067578,88907.94590172006,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
MOVING_AVERAGE_3,5:1,0.8333333333333334,point_forecast,18995.318557322455,31921.99022975269,0.0,0.9184832311067578,126898.58301636497,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
SEASONAL_NAIVE,1:1,0.5,point_forecast,21058.093999999997,27981.093999999997,0.0,0.9096310084640066,49039.187999999995,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
SEASONAL_NAIVE,2:1,0.6666666666666666,point_forecast,21058.093999999997,27981.093999999997,0.0,0.9096310084640066,70097.28199999999,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
SEASONAL_NAIVE,3:1,0.75,point_forecast,21058.093999999997,27981.093999999997,0.0,0.9096310084640066,91155.37599999999,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
SEASONAL_NAIVE,5:1,0.8333333333333334,point_forecast,21058.093999999997,27981.093999999997,0.0,0.9096310084640066,133271.56399999998,Sensitivity proxy only until shortage and holding costs are supplied.,FG_SECONDARY
