dataset,model,series_id,fg_code,fg_category,forecast_p50,safety_stock,reorder_point,target_max,on_hand_inventory,suggested_order_qty
B,SARIMA,FG085,FG085,Home Care,9436.098781174516,1410868792981.0,1410868801159.0,1410868810595.0,9497.0,1410868801098.0
A,SARIMA,FG077,FG077,Talc,24934.100149571357,168326712639.0,168326737573.0,168326762507.0,,168326762507.0
B,SARIMA,FG077,FG077,Talc,24934.100149571357,144146384870.0,144146403155.0,144146428089.0,32844.0,144146395245.0
A,SARIMA,FG072,FG072,Lotion/Cream,7740.313372466597,18064501981.0,18064509721.0,18064517461.0,,18064517461.0
B,SARIMA,FG072,FG072,Lotion/Cream,7740.313372466597,12773531849.0,12773535719.0,12773543459.0,8287.0,12773535172.0
B,SARIMA,FG084,FG084,Home Care,25368.05329463822,5130750799.0,5130777858.0,5130803226.0,35036.0,5130768190.0
A,SARIMA,FG084,FG084,Home Care,25368.05329463822,4967828100.0,4967853468.0,4967878836.0,,4967878836.0
A,SARIMA,FG029,FG029,Shampoo,17592.4803179615,1700478769.0,1700496361.0,1700513953.0,,1700513953.0
B,SARIMA,FG029,FG029,Shampoo,17592.4803179615,1552317634.0,1552332294.0,1552349886.0,34940.0,1552314946.0
A,SARIMA,FG078,FG078,Talc,8444.321505516169,1518938363.0,1518946807.0,1518955251.0,,1518955251.0
B,SARIMA,FG078,FG078,Talc,8444.321505516169,1176564597.0,1176569664.0,1176578108.0,18826.0,1176559282.0
A,SARIMA,FG074,FG074,Lotion/Cream,6221.486496000384,204085362.0,204091583.0,204097804.0,,204097804.0
B,SARIMA,FG074,FG074,Lotion/Cream,6221.486496000384,129074916.0,129077405.0,129083626.0,12521.0,129071105.0
B,SARIMA,FG067,FG067,Lotion/Cream,35330.68162677397,26774863.0,26818438.0,26853769.0,54562.0,26799207.0
A,SARIMA,FG067,FG067,Lotion/Cream,35330.68162677397,24109435.0,24144766.0,24180097.0,,24180097.0
A,SARIMA,FG054,FG054,Diaper,60728.78436356529,12233834.0,12294563.0,12355292.0,,12355292.0
B,SARIMA,FG054,FG054,Diaper,60728.78436356529,10942274.0,10990857.0,11051586.0,95660.0,10955926.0
A,SARIMA,FG089,FG089,Home Care,18787.393752000153,4259007.0,4277794.0,4296581.0,,4296581.0
A,SARIMA,FG036,FG036,Liquid Wash,43957.66303224184,4187463.0,4231421.0,4275379.0,,4275379.0
B,SARIMA,FG089,FG089,Home Care,18787.393752000153,4259007.0,4277794.0,4296581.0,39212.0,4257369.0
B,SARIMA,FG036,FG036,Liquid Wash,43957.66303224184,2860582.0,2881096.0,2925054.0,104800.0,2820254.0
A,SARIMA,FG003,FG003,Soap,61655.55926615951,1301462.0,1363118.0,1424774.0,,1424774.0
B,SARIMA,FG003,FG003,Soap,61655.55926615951,1257331.0,1314876.0,1376532.0,186247.0,1190285.0
A,SARIMA,FG014,FG014,Soap,64136.19369691329,584505.0,648641.0,712777.0,,712777.0
B,SARIMA,FG014,FG014,Soap,64136.19369691329,574681.0,636679.0,700815.0,103769.0,597046.0
A,SARIMA,FG087,FG087,Home Care,40183.75334407267,307056.0,347240.0,387424.0,,387424.0
A,SARIMA,FG059,FG059,Sanitary,5993.899409615552,244805.0,250799.0,256793.0,,256793.0
A,SARIMA,FG013,FG013,Soap,90479.95648236127,66475.0,156955.0,247435.0,,247435.0
A,SARIMA,FG049,FG049,Diaper,54322.60711379881,127530.0,181853.0,236176.0,,236176.0
B,SARIMA,FG059,FG059,Sanitary,5993.899409615552,236504.0,242098.0,248092.0,39403.0,208689.0
A,ETS,FG013,FG013,Soap,84719.36820914583,20895.0,105614.0,190333.0,,190333.0
A,SARIMA,FG019,FG019,Shampoo,67936.67536288977,52078.0,120015.0,187952.0,,187952.0
A,SARIMA,FG010,FG010,Soap,85169.79500201663,13784.0,98954.0,184124.0,,184124.0
A,ETS,FG010,FG010,Soap,85114.38833345329,13883.0,98997.0,184111.0,,184111.0
B,SARIMA,FG087,FG087,Home Care,40183.75334407267,202129.0,219542.0,259726.0,80288.0,179438.0
A,SARIMA,FG002,FG002,Soap,65521.81204610275,46616.0,112138.0,177660.0,,177660.0
A,SARIMA,FG015,FG015,Soap,62895.28075399393,48096.0,110991.0,173886.0,,173886.0
A,XGBOOST,FG003,FG003,Soap,77357.80208333333,17625.0,94983.0,172341.0,,172341.0
A,XGBOOST,FG013,FG013,Soap,75367.33550347222,20300.0,95667.0,171034.0,,171034.0
A,ARIMA,FG003,FG003,Soap,76242.68223623547,16983.0,93226.0,169469.0,,169469.0
A,ARIMA,FG013,FG013,Soap,74289.06935127964,20124.0,94413.0,168702.0,,168702.0
A,SARIMA,FG046,FG046,Diaper,64535.27872265204,39120.0,103655.0,168190.0,,168190.0
A,ETS,FG003,FG003,Soap,74363.69193026738,18209.0,92573.0,166937.0,,166937.0
A,ARIMA,FG010,FG010,Soap,77306.72351822589,12312.0,89619.0,166926.0,,166926.0
A,XGBOOST,FG010,FG010,Soap,76477.17491319444,13759.0,90236.0,166713.0,,166713.0
A,CATBOOST,FG013,FG013,Soap,72355.04867472543,19869.0,92224.0,164579.0,,164579.0
A,CATBOOST,FG003,FG003,Soap,73548.3127532177,16971.0,90519.0,164067.0,,164067.0
A,SARIMA,FG052,FG052,Diaper,72628.80610163724,13576.0,86205.0,158834.0,,158834.0
A,CATBOOST,FG010,FG010,Soap,71990.31432618921,13439.0,85429.0,157419.0,,157419.0
A,SARIMA,FG006,FG006,Soap,51778.06601140779,50707.0,102485.0,154263.0,,154263.0
A,ETS,FG031,FG031,Shampoo,68006.02647506878,17170.0,85176.0,153182.0,,153182.0
A,XGBOOST,FG006,FG006,Soap,66141.74848090278,18283.0,84425.0,150567.0,,150567.0
A,SARIMA,FG031,FG031,Shampoo,66204.001274214,18087.0,84291.0,150495.0,,150495.0
A,ETS,FG019,FG019,Shampoo,65265.54226320775,16557.0,81823.0,147089.0,,147089.0
A,ARIMA,FG006,FG006,Soap,66317.93409962395,13364.0,79682.0,146000.0,,146000.0
A,XGBOOST,FG045,FG045,Diaper,66864.96006944444,12193.0,79058.0,145923.0,,145923.0
A,SARIMA,FG033,FG033,Shampoo,49247.95250452254,45959.0,95207.0,144455.0,,144455.0
A,CATBOOST,FG006,FG006,Soap,63502.26590459015,16709.0,80211.0,143713.0,,143713.0
B,SARIMA,FG049,FG049,Diaper,54322.60711379881,123206.0,173907.0,228230.0,85596.0,142634.0
A,ARIMA,FG045,FG045,Diaper,66122.02057601158,10244.0,76366.0,142488.0,,142488.0
A,ETS,FG006,FG006,Soap,64838.93527894417,12033.0,76872.0,141711.0,,141711.0
A,SARIMA,FG038,FG038,Liquid Wash,35915.189551468015,69529.0,105444.0,141359.0,,141359.0
A,CATBOOST,FG045,FG045,Diaper,64567.388012647774,10831.0,75398.0,139965.0,,139965.0
A,SARIMA,FG065,FG065,Lotion/Cream,24256.854278005445,91265.0,115522.0,139779.0,,139779.0
A,ETS,FG045,FG045,Diaper,64982.86090091934,9072.0,74055.0,139038.0,,139038.0
A,ETS,FG052,FG052,Diaper,64202.24022890135,9804.0,74006.0,138208.0,,138208.0
A,ETS,FG015,FG015,Soap,61537.150563355535,14999.0,76536.0,138073.0,,138073.0
A,ARIMA,FG019,FG019,Shampoo,61316.61108431666,14575.0,75892.0,137209.0,,137209.0
A,SARIMA,FG007,FG007,Soap,55653.05198500905,25411.0,81064.0,136717.0,,136717.0
A,ARIMA,FG054,FG054,Diaper,64261.1315344731,7560.0,71821.0,136082.0,,136082.0
A,SARIMA,FG045,FG045,Diaper,63172.84513603898,8963.0,72136.0,135309.0,,135309.0
A,XGBOOST,FG031,FG031,Shampoo,58564.56488715278,18141.0,76706.0,135271.0,,135271.0
A,ARIMA,FG011,FG011,Soap,60321.66018324017,12559.0,72881.0,133203.0,,133203.0
A,ARIMA,FG052,FG052,Diaper,61887.22109956976,8846.0,70733.0,132620.0,,132620.0
A,ARIMA,FG015,FG015,Soap,60455.23246617159,11560.0,72015.0,132470.0,,132470.0
A,ARIMA,FG031,FG031,Shampoo,59014.780201049674,14405.0,73420.0,132435.0,,132435.0
A,XGBOOST,FG015,FG015,Soap,56890.638563368055,17205.0,74096.0,130987.0,,130987.0
A,CATBOOST,FG015,FG015,Soap,57187.521869211625,16397.0,73585.0,130773.0,,130773.0
A,XGBOOST,FG054,FG054,Diaper,60716.33159722222,8922.0,69638.0,130354.0,,130354.0
A,XGBOOST,FG046,FG046,Diaper,61141.93793402778,8070.0,69212.0,130354.0,,130354.0
A,XGBOOST,FG052,FG052,Diaper,59844.980360243055,10560.0,70405.0,130250.0,,130250.0
A,SARIMA,FG011,FG011,Soap,58483.21209782331,13243.0,71726.0,130209.0,,130209.0
A,XGBOOST,FG011,FG011,Soap,57035.82063802083,15392.0,72428.0,129464.0,,129464.0
A,CATBOOST,FG031,FG031,Shampoo,56938.13681638512,15505.0,72443.0,129381.0,,129381.0
A,CATBOOST,FG054,FG054,Diaper,60382.73264387807,8546.0,68929.0,129312.0,,129312.0
A,ARIMA,FG049,FG049,Diaper,59204.14566434701,10234.0,69438.0,128642.0,,128642.0
A,ETS,FG054,FG054,Diaper,61360.8193981982,5673.0,67034.0,128395.0,,128395.0
A,CATBOOST,FG052,FG052,Diaper,59407.20048865417,9506.0,68913.0,128320.0,,128320.0
A,ETS,FG014,FG014,Soap,58820.44552101617,10432.0,69252.0,128072.0,,128072.0
A,XGBOOST,FG049,FG049,Diaper,58010.28493923611,11926.0,69936.0,127946.0,,127946.0
A,ETS,FG002,FG002,Soap,58234.428675457944,10617.0,68851.0,127085.0,,127085.0
A,CATBOOST,FG049,FG049,Diaper,57670.72028698611,11568.0,69239.0,126910.0,,126910.0
A,CATBOOST,FG046,FG046,Diaper,59485.27046487961,7857.0,67342.0,126827.0,,126827.0
A,ETS,FG049,FG049,Diaper,58654.190981094136,9491.0,68145.0,126799.0,,126799.0
A,ARIMA,FG046,FG046,Diaper,59221.63890128973,7404.0,66626.0,125848.0,,125848.0
A,CATBOOST,FG011,FG011,Soap,55157.593268612545,14902.0,70060.0,125218.0,,125218.0
A,ETS,FG046,FG046,Diaper,58141.959361892914,8796.0,66938.0,125080.0,,125080.0
A,ARIMA,FG014,FG014,Soap,53745.43732148219,16232.0,69977.0,123722.0,,123722.0
A,ETS,FG011,FG011,Soap,56241.70089745705,10922.0,67164.0,123406.0,,123406.0
A,SARIMA,FG004,FG004,Soap,48567.20069830291,24349.0,72916.0,121483.0,,121483.0
A,SARIMA,FG027,FG027,Shampoo,50507.63172855473,18794.0,69302.0,119810.0,,119810.0
A,XGBOOST,FG019,FG019,Shampoo,49604.73784722222,13818.0,63423.0,113028.0,,113028.0
A,XGBOOST,FG014,FG014,Soap,48737.37619357639,15194.0,63931.0,112668.0,,112668.0
A,ARIMA,FG004,FG004,Soap,50779.37698297887,10523.0,61302.0,112081.0,,112081.0
A,CATBOOST,FG019,FG019,Shampoo,49352.14755426759,13058.0,62410.0,111762.0,,111762.0
A,ETS,FG053,FG053,Diaper,51200.10036394947,8916.0,60116.0,111316.0,,111316.0
A,CATBOOST,FG014,FG014,Soap,48945.429488099246,12755.0,61700.0,110645.0,,110645.0
A,ARIMA,FG002,FG002,Soap,50156.87788069424,10237.0,60394.0,110551.0,,110551.0
A,ETS,FG069,FG069,Lotion/Cream,43035.6031273046,24233.0,67269.0,110305.0,,110305.0
A,ARIMA,FG053,FG053,Diaper,50926.66981229475,8415.0,59342.0,110269.0,,110269.0
A,ETS,FG004,FG004,Soap,48787.71647159817,11413.0,60201.0,108989.0,,108989.0
A,XGBOOST,FG053,FG053,Diaper,48036.347764756945,12589.0,60625.0,108661.0,,108661.0
A,SARIMA,FG008,FG008,Soap,49619.22192683815,9347.0,58966.0,108585.0,,108585.0
A,ETS,FG007,FG007,Soap,49456.4182303856,9434.0,58890.0,108346.0,,108346.0
A,SARIMA,FG069,FG069,Lotion/Cream,42136.3229645414,23254.0,65390.0,107526.0,,107526.0
A,SARIMA,FG020,FG020,Shampoo,48056.03457340103,10847.0,58903.0,106959.0,,106959.0
A,SARIMA,FG030,FG030,Shampoo,46996.08418045045,11801.0,58797.0,105793.0,,105793.0
A,CATBOOST,FG004,FG004,Soap,46316.3550259199,13034.0,59350.0,105666.0,,105666.0
A,XGBOOST,FG004,FG004,Soap,45993.683702256945,13584.0,59578.0,105572.0,,105572.0
A,CATBOOST,FG053,FG053,Diaper,47444.78868714878,10509.0,57954.0,105399.0,,105399.0
A,SARIMA,FG050,FG050,Diaper,26257.99079172581,52860.0,79118.0,105376.0,,105376.0
A,ETS,FG020,FG020,Shampoo,46797.60567369143,10852.0,57650.0,104448.0,,104448.0
A,XGBOOST,FG002,FG002,Soap,45433.60112847222,13430.0,58864.0,104298.0,,104298.0
A,ARIMA,FG027,FG027,Shampoo,46388.906263924066,11420.0,57809.0,104198.0,,104198.0
A,ARIMA,FG022,FG022,Shampoo,47763.29795291267,7855.0,55618.0,103381.0,,103381.0
A,ARIMA,FG020,FG020,Shampoo,44994.21621170708,13392.0,58386.0,103380.0,,103380.0
A,SARIMA,FG012,FG012,Soap,38215.536960541765,25620.0,63836.0,102052.0,,102052.0
A,ETS,FG063,FG063,Sanitary,47785.50283290277,6023.0,53809.0,101595.0,,101595.0
A,ETS,FG027,FG027,Shampoo,45519.34687211904,10395.0,55914.0,101433.0,,101433.0
A,ETS,FG030,FG030,Shampoo,45313.4424733924,10654.0,55967.0,101280.0,,101280.0
A,CATBOOST,FG002,FG002,Soap,44785.84554848692,11601.0,56387.0,101173.0,,101173.0
B,SARIMA,FG038,FG038,Liquid Wash,35915.189551468015,76165.0,119263.0,155178.0,54765.0,100413.0
B,SARIMA,FG002,FG002,Soap,65521.81204610275,45833.0,109171.0,174693.0,74976.0,99717.0
A,XGBOOST,FG022,FG022,Shampoo,45314.253797743055,8215.0,53529.0,98843.0,,98843.0
A,SARIMA,FG073,FG073,Lotion/Cream,27687.93735487427,42815.0,70503.0,98191.0,,98191.0
A,ARIMA,FG033,FG033,Shampoo,43719.05144151911,10479.0,54198.0,97917.0,,97917.0
A,XGBOOST,FG058,FG058,Sanitary,44276.718858506945,9186.0,53463.0,97740.0,,97740.0
A,ARIMA,FG007,FG007,Soap,44683.24718423604,7740.0,52423.0,97106.0,,97106.0
A,XGBOOST,FG007,FG007,Soap,43624.483289930555,9657.0,53281.0,96905.0,,96905.0
A,CATBOOST,FG027,FG027,Shampoo,42561.42851264145,11019.0,53580.0,96141.0,,96141.0
A,ARIMA,FG063,FG063,Sanitary,45788.66715944814,4338.0,50127.0,95916.0,,95916.0
A,XGBOOST,FG033,FG033,Shampoo,42228.14605034722,11385.0,53613.0,95841.0,,95841.0
A,XGBOOST,FG020,FG020,Shampoo,41235.08930121528,13218.0,54453.0,95688.0,,95688.0
A,XGBOOST,FG027,FG027,Shampoo,42058.744791666664,11458.0,53517.0,95576.0,,95576.0
A,XGBOOST,FG063,FG063,Sanitary,44548.65874565972,6341.0,50890.0,95439.0,,95439.0
A,ARIMA,FG026,FG026,Shampoo,41225.80882931693,12731.0,53957.0,95183.0,,95183.0
A,ETS,FG033,FG033,Shampoo,41394.93639117978,12280.0,53675.0,95070.0,,95070.0
A,CATBOOST,FG058,FG058,Sanitary,43664.58522606518,7591.0,51256.0,94921.0,,94921.0
A,CATBOOST,FG063,FG063,Sanitary,44633.34172069674,5333.0,49966.0,94599.0,,94599.0
A,CATBOOST,FG022,FG022,Shampoo,42988.56624290839,8341.0,51330.0,94319.0,,94319.0
A,ARIMA,FG058,FG058,Sanitary,43457.32622722798,6727.0,50184.0,93641.0,,93641.0
A,XGBOOST,FG044,FG044,Diaper,43566.71256510416,6498.0,50065.0,93632.0,,93632.0
A,ETS,FG008,FG008,Soap,43681.65775353416,6255.0,49937.0,93619.0,,93619.0
A,ETS,FG058,FG058,Sanitary,42018.14888610644,9410.0,51428.0,93446.0,,93446.0
A,CATBOOST,FG007,FG007,Soap,41852.05567707241,9671.0,51523.0,93375.0,,93375.0
A,CATBOOST,FG033,FG033,Shampoo,40718.47954971014,11445.0,52163.0,92881.0,,92881.0
A,SARIMA,FG044,FG044,Diaper,43226.279343850976,6396.0,49622.0,92848.0,,92848.0
A,CATBOOST,FG020,FG020,Shampoo,39575.312650300504,13455.0,53030.0,92605.0,,92605.0
A,ARIMA,FG017,FG017,Shampoo,39058.412178556486,14112.0,53170.0,92228.0,,92228.0
A,ARIMA,FG024,FG024,Shampoo,40019.30380782905,11978.0,51997.0,92016.0,,92016.0
A,ETS,FG022,FG022,Shampoo,43644.87468352227,4485.0,48130.0,91775.0,,91775.0
A,SARIMA,FG034,FG034,Liquid Wash,41742.75148007775,7817.0,49560.0,91303.0,,91303.0
A,ARIMA,FG044,FG044,Diaper,43286.457796351686,4397.0,47683.0,90969.0,,90969.0
A,CATBOOST,FG044,FG044,Diaper,42068.31187249875,6117.0,48185.0,90253.0,,90253.0
A,ARIMA,FG034,FG034,Liquid Wash,41075.5128571275,7745.0,48821.0,89897.0,,89897.0
A,SARIMA,FG028,FG028,Shampoo,40102.25098372781,9376.0,49478.0,89580.0,,89580.0
A,CATBOOST,FG034,FG034,Liquid Wash,40237.52561614007,8721.0,48959.0,89197.0,,89197.0
A,XGBOOST,FG034,FG034,Liquid Wash,39657.02886284722,9641.0,49298.0,88955.0,,88955.0
A,ARIMA,FG069,FG069,Lotion/Cream,36642.26249057125,14958.0,51600.0,88242.0,,88242.0
A,SARIMA,FG024,FG024,Shampoo,37705.74755737327,12349.0,50055.0,87761.0,,87761.0
A,SARIMA,FG082,FG082,Home Care,37961.46649649848,11250.0,49211.0,87172.0,,87172.0
A,ETS,FG017,FG017,Shampoo,37329.71548746261,12362.0,49692.0,87022.0,,87022.0
A,SARIMA,FG058,FG058,Sanitary,37373.7189046442,11971.0,49345.0,86719.0,,86719.0
A,SARIMA,FG009,FG009,Soap,32506.643835308427,21453.0,53960.0,86467.0,,86467.0
A,ETS,FG036,FG036,Liquid Wash,39130.73809606289,7869.0,47000.0,86131.0,,86131.0
A,XGBOOST,FG005,FG005,Soap,37724.203776041664,10268.0,47992.0,85716.0,,85716.0
A,XGBOOST,FG008,FG008,Soap,38998.25043402778,7394.0,46392.0,85390.0,,85390.0
A,ETS,FG034,FG034,Liquid Wash,39399.65879530021,6582.0,45982.0,85382.0,,85382.0
A,ETS,FG028,FG028,Shampoo,38112.54681870016,8977.0,47090.0,85203.0,,85203.0
A,ETS,FG044,FG044,Diaper,40060.961359979294,4599.0,44660.0,84721.0,,84721.0
A,XGBOOST,FG030,FG030,Shampoo,37932.332139756945,8847.0,46779.0,84711.0,,84711.0
A,SARIMA,FG017,FG017,Shampoo,30856.453219631017,22970.0,53826.0,84682.0,,84682.0
A,ARIMA,FG043,FG043,Liquid Wash,38600.449786403544,7173.0,45773.0,84373.0,,84373.0
