dataset,model,series_id,fg_code,fg_category,month,horizon,y_true,forecast_p50,p10,p90
A,XGBOOST,FG011,FG011,Soap,2026-01-01,1,65919.0,62561.2890625,56758.1640625,68364.4140625
A,XGBOOST,FG012,FG012,Soap,2025-11-01,1,39225.0,35776.35546875,29973.23046875,41579.48046875
A,XGBOOST,FG012,FG012,Soap,2025-12-01,1,36825.0,37309.07421875,31505.94921875,43112.19921875
A,XGBOOST,FG012,FG012,Soap,2026-01-01,1,31540.0,35993.71875,30190.59375,41796.84375
A,XGBOOST,FG013,FG013,Soap,2025-11-01,1,70069.0,86068.46875,80265.34375,91871.59375
A,XGBOOST,FG013,FG013,Soap,2025-12-01,1,108530.0,83963.9921875,78160.8671875,89767.1171875
A,XGBOOST,FG013,FG013,Soap,2026-01-01,1,69605.0,78940.484375,73137.359375,84743.609375
A,XGBOOST,FG014,FG014,Soap,2025-11-01,1,57008.0,52963.703125,47160.578125,58766.828125
A,XGBOOST,FG014,FG014,Soap,2025-12-01,1,63724.0,55063.60546875,49260.48046875,60866.73046875
A,XGBOOST,FG014,FG014,Soap,2026-01-01,1,49968.0,55216.44921875,49413.32421875,61019.57421875
A,XGBOOST,FG015,FG015,Soap,2025-11-01,1,67716.0,71326.8125,65523.6875,77129.9375
A,XGBOOST,FG015,FG015,Soap,2025-12-01,1,61469.0,64022.1640625,58219.0390625,69825.2890625
A,XGBOOST,FG015,FG015,Soap,2026-01-01,1,55726.0,65850.328125,60047.203125,71653.453125
A,XGBOOST,FG016,FG016,Shampoo,2025-11-01,1,23928.0,26899.693359375,21096.568359375,32702.818359375
A,XGBOOST,FG016,FG016,Shampoo,2025-12-01,1,26527.0,25550.33984375,19747.21484375,31353.46484375
A,XGBOOST,FG016,FG016,Shampoo,2026-01-01,1,20834.0,25046.765625,19243.640625,30849.890625
A,XGBOOST,FG017,FG017,Shampoo,2025-11-01,1,34417.0,38178.41796875,32375.29296875,43981.54296875
A,XGBOOST,FG017,FG017,Shampoo,2025-12-01,1,25533.0,40735.1796875,34932.0546875,46538.3046875
A,XGBOOST,FG017,FG017,Shampoo,2026-01-01,1,32955.0,37124.6875,31321.5625,42927.8125
A,XGBOOST,FG018,FG018,Shampoo,2025-11-01,1,45232.0,36834.20703125,31031.08203125,42637.33203125
A,XGBOOST,FG018,FG018,Shampoo,2025-12-01,1,35090.0,36088.57421875,30285.44921875,41891.69921875
A,XGBOOST,FG018,FG018,Shampoo,2026-01-01,1,32579.0,33076.87890625,27273.75390625,38880.00390625
A,XGBOOST,FG019,FG019,Shampoo,2025-11-01,1,56921.0,61274.19921875,55471.07421875,67077.3203125
A,XGBOOST,FG019,FG019,Shampoo,2025-12-01,1,60868.0,54909.90625,49106.78125,60713.03125
A,XGBOOST,FG019,FG019,Shampoo,2026-01-01,1,54597.0,56228.515625,50425.390625,62031.640625
A,XGBOOST,FG020,FG020,Shampoo,2025-11-01,1,56789.0,45440.12109375,39636.99609375,51243.24609375
A,XGBOOST,FG020,FG020,Shampoo,2025-12-01,1,63295.0,50201.69140625,44398.56640625,56004.81640625
A,XGBOOST,FG020,FG020,Shampoo,2026-01-01,1,39413.0,45449.65625,39646.53125,51252.78125
A,XGBOOST,FG021,FG021,Shampoo,2025-11-01,1,40571.0,38857.625,33054.5,44660.75
A,XGBOOST,FG021,FG021,Shampoo,2025-12-01,1,43290.0,41862.109375,36058.984375,47665.234375
A,XGBOOST,FG021,FG021,Shampoo,2026-01-01,1,34190.0,37948.09765625,32144.97265625,43751.22265625
A,XGBOOST,FG022,FG022,Shampoo,2025-11-01,1,46668.0,47287.44921875,41484.32421875,53090.57421875
A,XGBOOST,FG022,FG022,Shampoo,2025-12-01,1,57076.0,50107.2890625,44304.1640625,55910.4140625
A,XGBOOST,FG022,FG022,Shampoo,2026-01-01,1,47527.0,45926.734375,40123.609375,51729.859375
A,XGBOOST,FG023,FG023,Shampoo,2025-11-01,1,43334.0,40964.84375,35161.71875,46767.96875
A,XGBOOST,FG023,FG023,Shampoo,2025-12-01,1,47583.0,42722.31640625,36919.19140625,48525.44140625
A,XGBOOST,FG023,FG023,Shampoo,2026-01-01,1,39416.0,43958.6328125,38155.5078125,49761.7578125
A,XGBOOST,FG024,FG024,Shampoo,2025-11-01,1,36557.0,38821.51953125,33018.39453125,44624.64453125
A,XGBOOST,FG024,FG024,Shampoo,2025-12-01,1,42331.0,40274.19921875,34471.07421875,46077.32421875
A,XGBOOST,FG024,FG024,Shampoo,2026-01-01,1,33268.0,36942.3828125,31139.2578125,42745.5078125
A,XGBOOST,FG025,FG025,Shampoo,2025-11-01,1,24511.0,25682.130859375,19879.005859375,31485.255859375
A,XGBOOST,FG025,FG025,Shampoo,2025-12-01,1,24682.0,25160.27734375,19357.15234375,30963.40234375
A,XGBOOST,FG025,FG025,Shampoo,2026-01-01,1,23857.0,24950.90625,19147.78125,30754.03125
A,XGBOOST,FG026,FG026,Shampoo,2025-11-01,1,27751.0,39088.40625,33285.28125,44891.53125
A,XGBOOST,FG026,FG026,Shampoo,2025-12-01,1,47196.0,38871.16015625,33068.03515625,44674.28515625
A,XGBOOST,FG026,FG026,Shampoo,2026-01-01,1,35686.0,38306.80859375,32503.68359375,44109.93359375
A,XGBOOST,FG027,FG027,Shampoo,2025-11-01,1,52163.0,49098.50390625,43295.37890625,54901.62890625
A,XGBOOST,FG027,FG027,Shampoo,2025-12-01,1,57135.0,48876.609375,43073.484375,54679.734375
A,XGBOOST,FG027,FG027,Shampoo,2026-01-01,1,54499.0,49320.71875,43517.59375,55123.84375
A,XGBOOST,FG028,FG028,Shampoo,2025-11-01,1,33963.0,37434.33203125,31631.20703125,43237.45703125
A,XGBOOST,FG028,FG028,Shampoo,2025-12-01,1,46344.0,38970.62890625,33167.50390625,44773.75390625
A,XGBOOST,FG028,FG028,Shampoo,2026-01-01,1,37921.0,32738.427734375,26935.302734375,38541.55078125
A,XGBOOST,FG029,FG029,Shampoo,2025-11-01,1,22229.0,17489.515625,11686.390625,23292.640625
A,XGBOOST,FG029,FG029,Shampoo,2025-12-01,1,23634.0,20754.681640625,14951.556640625,26557.806640625
A,XGBOOST,FG029,FG029,Shampoo,2026-01-01,1,20113.0,21268.583984375,15465.458984375,27071.708984375
A,XGBOOST,FG030,FG030,Shampoo,2025-11-01,1,44862.0,47161.3046875,41358.1796875,52964.4296875
A,XGBOOST,FG030,FG030,Shampoo,2025-12-01,1,42408.0,48828.05078125,43024.92578125,54631.17578125
A,XGBOOST,FG030,FG030,Shampoo,2026-01-01,1,47998.0,40970.02734375,35166.90234375,46773.15234375
A,XGBOOST,FG031,FG031,Shampoo,2025-11-01,1,65752.0,66423.5,60620.375,72226.625
A,XGBOOST,FG031,FG031,Shampoo,2025-12-01,1,70155.0,60337.59765625,54534.47265625,66140.71875
A,XGBOOST,FG031,FG031,Shampoo,2026-01-01,1,61899.0,65769.8125,59966.6875,71572.9375
A,XGBOOST,FG032,FG032,Shampoo,2025-11-01,1,14819.0,13873.58203125,8070.45751953125,19676.70703125
A,XGBOOST,FG032,FG032,Shampoo,2025-12-01,1,17360.0,17583.0234375,11779.8984375,23386.1484375
A,XGBOOST,FG032,FG032,Shampoo,2026-01-01,1,18996.0,16563.7421875,10760.6171875,22366.8671875
A,XGBOOST,FG033,FG033,Shampoo,2025-11-01,1,46977.0,48482.56640625,42679.44140625,54285.69140625
A,XGBOOST,FG033,FG033,Shampoo,2025-12-01,1,48151.0,51107.14453125,45304.01953125,56910.26953125
A,XGBOOST,FG033,FG033,Shampoo,2026-01-01,1,46382.0,45908.44140625,40105.31640625,51711.56640625
A,XGBOOST,FG034,FG034,Liquid Wash,2025-11-01,1,43860.0,44298.34765625,38495.22265625,50101.47265625
A,XGBOOST,FG034,FG034,Liquid Wash,2025-12-01,1,51784.0,50709.359375,44906.234375,56512.484375
A,XGBOOST,FG034,FG034,Liquid Wash,2026-01-01,1,42406.0,40409.23828125,34606.11328125,46212.36328125
A,XGBOOST,FG035,FG035,Liquid Wash,2025-11-01,1,36622.0,40362.203125,34559.078125,46165.328125
A,XGBOOST,FG035,FG035,Liquid Wash,2025-12-01,1,42314.0,41099.9609375,35296.8359375,46903.0859375
A,XGBOOST,FG035,FG035,Liquid Wash,2026-01-01,1,41325.0,39886.42578125,34083.30078125,45689.55078125
A,XGBOOST,FG036,FG036,Liquid Wash,2025-11-01,1,48043.0,44930.09375,39126.96875,50733.21875
A,XGBOOST,FG036,FG036,Liquid Wash,2025-12-01,1,38140.0,43096.84375,37293.71875,48899.96875
A,XGBOOST,FG036,FG036,Liquid Wash,2026-01-01,1,33606.0,40419.6015625,34616.4765625,46222.7265625
A,XGBOOST,FG037,FG037,Liquid Wash,2025-11-01,1,20157.0,21504.83203125,15701.70703125,27307.95703125
A,XGBOOST,FG037,FG037,Liquid Wash,2025-12-01,1,25759.0,20681.541015625,14878.416015625,26484.666015625
A,XGBOOST,FG037,FG037,Liquid Wash,2026-01-01,1,24210.0,19279.279296875,13476.154296875,25082.404296875
A,XGBOOST,FG038,FG038,Liquid Wash,2025-11-01,1,40337.0,34831.27734375,29028.15234375,40634.40234375
A,XGBOOST,FG038,FG038,Liquid Wash,2025-12-01,1,45308.0,35663.296875,29860.171875,41466.421875
A,XGBOOST,FG038,FG038,Liquid Wash,2026-01-01,1,36728.0,36545.7890625,30742.6640625,42348.9140625
A,XGBOOST,FG039,FG039,Liquid Wash,2025-11-01,1,16567.0,13587.82421875,7784.69970703125,19390.94921875
A,XGBOOST,FG039,FG039,Liquid Wash,2025-12-01,1,15174.0,15367.0458984375,9563.921875,21170.169921875
A,XGBOOST,FG039,FG039,Liquid Wash,2026-01-01,1,11396.0,15569.2646484375,9766.140625,21372.388671875
A,XGBOOST,FG040,FG040,Liquid Wash,2025-11-01,1,21885.0,21079.041015625,15275.916015625,26882.166015625
A,XGBOOST,FG040,FG040,Liquid Wash,2025-12-01,1,19597.0,23427.09375,17623.96875,29230.21875
A,XGBOOST,FG040,FG040,Liquid Wash,2026-01-01,1,17749.0,21976.24609375,16173.12109375,27779.37109375
A,XGBOOST,FG041,FG041,Liquid Wash,2025-11-01,1,16341.0,14323.578125,8520.453125,20126.703125
A,XGBOOST,FG041,FG041,Liquid Wash,2025-12-01,1,15115.0,15868.0595703125,10064.935546875,21671.18359375
A,XGBOOST,FG041,FG041,Liquid Wash,2026-01-01,1,13998.0,15163.5791015625,9360.455078125,20966.703125
A,XGBOOST,FG042,FG042,Liquid Wash,2025-11-01,1,27667.0,25643.51171875,19840.38671875,31446.63671875
A,XGBOOST,FG042,FG042,Liquid Wash,2025-12-01,1,25521.0,28608.041015625,22804.916015625,34411.1640625
A,XGBOOST,FG042,FG042,Liquid Wash,2026-01-01,1,23908.0,26254.166015625,20451.041015625,32057.291015625
A,XGBOOST,FG043,FG043,Liquid Wash,2025-11-01,1,42933.0,37335.203125,31532.078125,43138.328125
A,XGBOOST,FG043,FG043,Liquid Wash,2025-12-01,1,37002.0,37774.796875,31971.671875,43577.921875
A,XGBOOST,FG043,FG043,Liquid Wash,2026-01-01,1,39697.0,38627.75,32824.625,44430.875
A,XGBOOST,FG044,FG044,Diaper,2025-11-01,1,46099.0,45790.71484375,39987.58984375,51593.83984375
A,XGBOOST,FG044,FG044,Diaper,2025-12-01,1,41343.0,46056.92578125,40253.80078125,51860.05078125
A,XGBOOST,FG044,FG044,Diaper,2026-01-01,1,46419.0,45291.55078125,39488.42578125,51094.67578125
A,XGBOOST,FG045,FG045,Diaper,2025-11-01,1,72211.0,68538.5,62735.375,74341.625
A,XGBOOST,FG045,FG045,Diaper,2025-12-01,1,71805.0,74332.0390625,68528.9140625,80135.1640625
A,XGBOOST,FG045,FG045,Diaper,2026-01-01,1,73834.0,65621.1640625,59818.0390625,71424.2890625
A,XGBOOST,FG046,FG046,Diaper,2025-11-01,1,65636.0,65610.390625,59807.265625,71413.515625
A,XGBOOST,FG046,FG046,Diaper,2025-12-01,1,67457.0,65261.6796875,59458.5546875,71064.8046875
A,XGBOOST,FG046,FG046,Diaper,2026-01-01,1,66702.0,63966.40625,58163.28125,69769.53125
A,XGBOOST,FG047,FG047,Diaper,2025-11-01,1,18184.0,19664.75,13861.625,25467.875
A,XGBOOST,FG047,FG047,Diaper,2025-12-01,1,19847.0,20192.546875,14389.421875,25995.671875
A,XGBOOST,FG047,FG047,Diaper,2026-01-01,1,17292.0,19812.619140625,14009.494140625,25615.744140625
A,XGBOOST,FG048,FG048,Diaper,2025-11-01,1,31503.0,35170.6640625,29367.5390625,40973.7890625
A,XGBOOST,FG048,FG048,Diaper,2025-12-01,1,30699.0,35027.2890625,29224.1640625,40830.4140625
A,XGBOOST,FG048,FG048,Diaper,2026-01-01,1,34918.0,36810.4296875,31007.3046875,42613.5546875
A,XGBOOST,FG049,FG049,Diaper,2025-11-01,1,60882.0,59444.2421875,53641.1171875,65247.3671875
A,XGBOOST,FG049,FG049,Diaper,2025-12-01,1,66622.0,67055.1328125,61252.0078125,72858.2578125
A,XGBOOST,FG049,FG049,Diaper,2026-01-01,1,69210.0,63346.30859375,57543.18359375,69149.4296875
A,XGBOOST,FG050,FG050,Diaper,2025-11-01,1,25502.0,24348.814453125,18545.689453125,30151.939453125
A,XGBOOST,FG050,FG050,Diaper,2025-12-01,1,29467.0,24134.0234375,18330.8984375,29937.1484375
A,XGBOOST,FG050,FG050,Diaper,2026-01-01,1,21028.0,25079.779296875,19276.654296875,30882.904296875
A,XGBOOST,FG051,FG051,Diaper,2025-11-01,1,22315.0,20568.373046875,14765.248046875,26371.498046875
A,XGBOOST,FG051,FG051,Diaper,2025-12-01,1,20894.0,20849.3203125,15046.1953125,26652.4453125
A,XGBOOST,FG051,FG051,Diaper,2026-01-01,1,19026.0,19726.017578125,13922.892578125,25529.142578125
A,XGBOOST,FG052,FG052,Diaper,2025-11-01,1,59529.0,66813.546875,61010.421875,72616.671875
A,XGBOOST,FG052,FG052,Diaper,2025-12-01,1,63319.0,64932.21875,59129.09375,70735.34375
A,XGBOOST,FG052,FG052,Diaper,2026-01-01,1,61624.0,68941.125,63138.0,74744.25
A,XGBOOST,FG053,FG053,Diaper,2025-11-01,1,49806.0,50666.45703125,44863.33203125,56469.58203125
A,XGBOOST,FG053,FG053,Diaper,2025-12-01,1,64485.0,51714.51171875,45911.38671875,57517.63671875
A,XGBOOST,FG053,FG053,Diaper,2026-01-01,1,48464.0,49095.63671875,43292.51171875,54898.76171875
A,XGBOOST,FG054,FG054,Diaper,2025-11-01,1,60578.0,61080.49609375,55277.37109375,66883.6171875
A,XGBOOST,FG054,FG054,Diaper,2025-12-01,1,68358.0,67120.625,61317.5,72923.75
A,XGBOOST,FG054,FG054,Diaper,2026-01-01,1,69962.0,66269.9375,60466.8125,72073.0625
A,XGBOOST,FG055,FG055,Diaper,2025-11-01,1,16509.0,16665.19140625,10862.06640625,22468.31640625
A,XGBOOST,FG055,FG055,Diaper,2025-12-01,1,16014.0,18123.12109375,12319.99609375,23926.24609375
A,XGBOOST,FG055,FG055,Diaper,2026-01-01,1,16910.0,15610.8408203125,9807.716796875,21413.96484375
A,XGBOOST,FG056,FG056,Sanitary,2025-11-01,1,32373.0,32323.072265625,26519.947265625,38126.1953125
A,XGBOOST,FG056,FG056,Sanitary,2025-12-01,1,32169.0,33197.828125,27394.703125,39000.953125
A,XGBOOST,FG056,FG056,Sanitary,2026-01-01,1,30187.0,34203.73046875,28400.60546875,40006.85546875
A,XGBOOST,FG057,FG057,Sanitary,2025-11-01,1,33064.0,34653.35546875,28850.23046875,40456.48046875
A,XGBOOST,FG057,FG057,Sanitary,2025-12-01,1,32262.0,33769.6796875,27966.5546875,39572.8046875
A,XGBOOST,FG057,FG057,Sanitary,2026-01-01,1,30899.0,35114.69921875,29311.57421875,40917.82421875
A,XGBOOST,FG058,FG058,Sanitary,2025-11-01,1,48024.0,43374.0546875,37570.9296875,49177.1796875
A,XGBOOST,FG058,FG058,Sanitary,2025-12-01,1,45853.0,43444.859375,37641.734375,49247.984375
A,XGBOOST,FG058,FG058,Sanitary,2026-01-01,1,39639.0,44538.2265625,38735.1015625,50341.3515625
A,XGBOOST,FG059,FG059,Sanitary,2025-11-01,1,13045.0,16820.740234375,11017.615234375,22623.865234375
A,XGBOOST,FG059,FG059,Sanitary,2025-12-01,1,17338.0,17248.46875,11445.34375,23051.59375
A,XGBOOST,FG059,FG059,Sanitary,2026-01-01,1,14887.0,15620.09375,9816.96875,21423.21875
A,XGBOOST,FG060,FG060,Sanitary,2025-11-01,1,37835.0,38528.390625,32725.265625,44331.515625
A,XGBOOST,FG060,FG060,Sanitary,2025-12-01,1,36664.0,37549.80859375,31746.68359375,43352.93359375
A,XGBOOST,FG060,FG060,Sanitary,2026-01-01,1,35944.0,36550.67578125,30747.55078125,42353.80078125
A,XGBOOST,FG061,FG061,Sanitary,2025-11-01,1,21096.0,21493.736328125,15690.611328125,27296.861328125
A,XGBOOST,FG061,FG061,Sanitary,2025-12-01,1,18071.0,20034.869140625,14231.744140625,25837.994140625
A,XGBOOST,FG061,FG061,Sanitary,2026-01-01,1,18979.0,19634.802734375,13831.677734375,25437.927734375
A,XGBOOST,FG062,FG062,Sanitary,2025-11-01,1,17242.0,18478.341796875,12675.216796875,24281.466796875
A,XGBOOST,FG062,FG062,Sanitary,2025-12-01,1,19244.0,18310.720703125,12507.595703125,24113.845703125
A,XGBOOST,FG062,FG062,Sanitary,2026-01-01,1,15219.0,18281.580078125,12478.455078125,24084.705078125
A,XGBOOST,FG063,FG063,Sanitary,2025-11-01,1,40429.0,45911.50390625,40108.37890625,51714.62890625
A,XGBOOST,FG063,FG063,Sanitary,2025-12-01,1,49731.0,45164.2578125,39361.1328125,50967.3828125
A,XGBOOST,FG063,FG063,Sanitary,2026-01-01,1,41032.0,46293.67578125,40490.55078125,52096.80078125
A,XGBOOST,FG064,FG064,Lotion/Cream,2025-11-01,1,23276.0,21870.7109375,16067.5859375,27673.8359375
A,XGBOOST,FG064,FG064,Lotion/Cream,2025-12-01,1,19388.0,21259.623046875,15456.498046875,27062.748046875
A,XGBOOST,FG064,FG064,Lotion/Cream,2026-01-01,1,20720.0,20651.6484375,14848.5234375,26454.7734375
A,XGBOOST,FG065,FG065,Lotion/Cream,2025-11-01,1,33059.0,30434.00390625,24630.87890625,36237.12890625
A,XGBOOST,FG065,FG065,Lotion/Cream,2025-12-01,1,33612.0,30600.826171875,24797.701171875,36403.94921875
A,XGBOOST,FG065,FG065,Lotion/Cream,2026-01-01,1,34325.0,27846.33984375,22043.21484375,33649.46484375
A,XGBOOST,FG066,FG066,Lotion/Cream,2025-11-01,1,14430.0,10395.7841796875,4592.65966796875,16198.908203125
A,XGBOOST,FG066,FG066,Lotion/Cream,2025-12-01,1,14016.0,10770.447265625,4967.32275390625,16573.572265625
A,XGBOOST,FG066,FG066,Lotion/Cream,2026-01-01,1,11011.0,10728.728515625,4925.60400390625,16531.853515625
A,XGBOOST,FG067,FG067,Lotion/Cream,2025-11-01,1,29378.0,30009.60546875,24206.48046875,35812.73046875
A,XGBOOST,FG067,FG067,Lotion/Cream,2025-12-01,1,33972.0,31132.919921875,25329.794921875,36936.04296875
A,XGBOOST,FG067,FG067,Lotion/Cream,2026-01-01,1,30251.0,29515.830078125,23712.705078125,35318.953125
A,XGBOOST,FG068,FG068,Lotion/Cream,2025-11-01,1,19051.0,20412.84375,14609.71875,26215.96875
A,XGBOOST,FG068,FG068,Lotion/Cream,2025-12-01,1,22312.0,22372.677734375,16569.552734375,28175.802734375
A,XGBOOST,FG068,FG068,Lotion/Cream,2026-01-01,1,19002.0,21331.59375,15528.46875,27134.71875
A,XGBOOST,FG069,FG069,Lotion/Cream,2025-11-01,1,28411.0,31545.1875,25742.0625,37348.3125
A,XGBOOST,FG069,FG069,Lotion/Cream,2025-12-01,1,30710.0,34511.37109375,28708.24609375,40314.49609375
A,XGBOOST,FG069,FG069,Lotion/Cream,2026-01-01,1,29089.0,32656.48828125,26853.36328125,38459.61328125
A,XGBOOST,FG070,FG070,Lotion/Cream,2025-11-01,1,26128.0,25284.888671875,19481.763671875,31088.013671875
A,XGBOOST,FG070,FG070,Lotion/Cream,2025-12-01,1,25058.0,25972.314453125,20169.189453125,31775.439453125
A,XGBOOST,FG070,FG070,Lotion/Cream,2026-01-01,1,29067.0,22769.228515625,16966.103515625,28572.353515625
A,XGBOOST,FG071,FG071,Lotion/Cream,2025-11-01,1,17027.0,23422.837890625,17619.712890625,29225.962890625
A,XGBOOST,FG071,FG071,Lotion/Cream,2025-12-01,1,21255.0,22932.23828125,17129.11328125,28735.36328125
A,XGBOOST,FG071,FG071,Lotion/Cream,2026-01-01,1,19408.0,22433.35546875,16630.23046875,28236.48046875
A,XGBOOST,FG072,FG072,Lotion/Cream,2025-11-01,1,9069.0,7617.9169921875,1814.79248046875,13421.041015625
A,XGBOOST,FG072,FG072,Lotion/Cream,2025-12-01,1,7884.0,8560.5439453125,2757.41943359375,14363.66796875
A,XGBOOST,FG072,FG072,Lotion/Cream,2026-01-01,1,7881.0,7496.45361328125,1693.3291015625,13299.578125
A,XGBOOST,FG073,FG073,Lotion/Cream,2025-11-01,1,30689.0,27742.77734375,21939.65234375,33545.90234375
A,XGBOOST,FG073,FG073,Lotion/Cream,2025-12-01,1,30490.0,28088.3203125,22285.1953125,33891.4453125
A,XGBOOST,FG073,FG073,Lotion/Cream,2026-01-01,1,23763.0,27334.7578125,21531.6328125,33137.8828125
A,XGBOOST,FG074,FG074,Lotion/Cream,2025-11-01,1,6904.0,6192.17578125,389.05126953125,11995.30078125
A,XGBOOST,FG074,FG074,Lotion/Cream,2025-12-01,1,5098.0,7866.783203125,2063.65869140625,13669.908203125
A,XGBOOST,FG074,FG074,Lotion/Cream,2026-01-01,1,7957.0,6944.5,1141.37548828125,12747.625
A,XGBOOST,FG075,FG075,Lotion/Cream,2025-11-01,1,8147.0,7600.72900390625,1797.6044921875,13403.853515625
A,XGBOOST,FG075,FG075,Lotion/Cream,2025-12-01,1,6924.0,8433.083984375,2629.95947265625,14236.208984375
A,XGBOOST,FG075,FG075,Lotion/Cream,2026-01-01,1,9099.0,7780.46337890625,1977.3388671875,13583.587890625
A,XGBOOST,FG076,FG076,Talc,2025-11-01,1,5771.0,5622.33203125,0.0,11425.45703125
A,XGBOOST,FG076,FG076,Talc,2025-12-01,1,5693.0,6140.16748046875,337.04296875,11943.2919921875
A,XGBOOST,FG076,FG076,Talc,2026-01-01,1,6261.0,5219.8466796875,0.0,11022.970703125
A,XGBOOST,FG077,FG077,Talc,2025-11-01,1,19524.0,22337.373046875,16534.248046875,28140.498046875
A,XGBOOST,FG077,FG077,Talc,2025-12-01,1,21588.0,22243.015625,16439.890625,28046.140625
A,XGBOOST,FG077,FG077,Talc,2026-01-01,1,19224.0,20199.90625,14396.78125,26003.03125
A,XGBOOST,FG078,FG078,Talc,2025-11-01,1,7047.0,9593.619140625,3790.49462890625,15396.744140625
A,XGBOOST,FG078,FG078,Talc,2025-12-01,1,7211.0,8361.96484375,2558.84033203125,14165.08984375
A,XGBOOST,FG078,FG078,Talc,2026-01-01,1,7532.0,7984.09765625,2180.97314453125,13787.22265625
A,XGBOOST,FG079,FG079,Talc,2025-11-01,1,16208.0,17972.8671875,12169.7421875,23775.9921875
A,XGBOOST,FG079,FG079,Talc,2025-12-01,1,17669.0,19735.388671875,13932.263671875,25538.513671875
A,XGBOOST,FG079,FG079,Talc,2026-01-01,1,13805.0,19517.2109375,13714.0859375,25320.3359375
A,XGBOOST,FG080,FG080,Talc,2025-11-01,1,25474.0,25390.1171875,19586.9921875,31193.2421875
A,XGBOOST,FG080,FG080,Talc,2025-12-01,1,21707.0,23697.611328125,17894.486328125,29500.736328125
A,XGBOOST,FG080,FG080,Talc,2026-01-01,1,25868.0,22373.97265625,16570.84765625,28177.09765625
A,XGBOOST,FG081,FG081,Talc,2025-11-01,1,4818.0,5632.5615234375,0.0,11435.685546875
A,XGBOOST,FG081,FG081,Talc,2025-12-01,1,4367.0,5844.1796875,41.05517578125,11647.3046875
A,XGBOOST,FG081,FG081,Talc,2026-01-01,1,6296.0,5441.56591796875,0.0,11244.6904296875
